cle_unique;emplacement_source;datetime_ingestion;privacy_level;entreprise;date;review_titre;status_employe;lieu;recommande;commentaire;avantage;incovenient
287852227246012808552594711079422026950;13640-AVIS-SOC-GLASSDOOR-E427636_P1.html;2021-03-21 17:31:11;0;Altran Engineering Solution;Oct 1, 2019; Une bonne école où il ne faut pas y perdre trop de temps ;Employé actuel - IT Consultant;Paris;Ne recommande pas;Je travaille chez Altran Engineering Solution à temps plein depuis plus d'un an;Altran offre de belle opportunité de monté en compétences et de valorisé votre profil;à l'exception des placement en mission il n'y a vraiment aucun accompagnemen de parcours de carriere, et les augmentation ne sont obtenue qu'en menaçant de partir
177731125230615520431473623979402130177;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;2021-03-21 17:31:11;0;Volvo Group;Nov 23, 2019; Volvo ;Employé actuel - directeur juridique;Singapour;Ne recommande pas;Je travaille chez Volvo Group à temps plein depuis plus de 8 ans;Hierarchie plate.  Presence mondiale. Diversite des activites entre camion, bus, engins de chantier, moteurs etc;RH peu performante notamment pour gérer les profils internationaux . Activite dependante de la bonne sante de l'economie
81335909092478407372347141037528042676;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;2021-03-21 17:31:11;0;Volvo Group;Sep 15, 2019; Travail intéressant et autonomie ;Employé actuel - Employé anonyme;Lyon;Recommande;Je travaille chez Volvo Group à temps plein depuis plus de 10 ans;Equilibre vie privé/ pro. Respect. Autonomie. Bonne ambiance au travail.;Je n'en vois pas énormement, sauf ceux d'une grosse boite avec le siège à l'étranger.
125124478840888659373404140838750784588;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;2021-03-21 17:31:11;0;Volvo Group;Sep 11, 2019; belles opportunités au sein d'un Groupe International ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez Volvo Group à temps plein;évolution profesionnelle, équilibre vie privée/vie pro, respect de la diversité;latence dans les décisions
332758946847536198717664150909732623152;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;2021-03-21 17:31:11;0;Volvo Group;Sep 5, 2019; super pour l'alternance ;Ancien employé - Employé anonyme;NULL;Recommande;J'ai travaillé chez Volvo Group à temps plein;- dimension internationale  - avantages rémunération / CE ...;- l'ambiance dépend vraiment des services dans lesquels on atterrit
46179730476685549235386937792941425677;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;2021-03-21 17:31:11;0;Volvo Group;Aug 23, 2019; Un excellent lieu de travail très international ;Ancien employé - acheteur junior;NULL;Recommande;J'ai travaillé chez Volvo Group à temps plein moins d'un an;Environnement très international, bon salaire, bonne ambiance;Un peu loin du centre ville
198535958203964419546904388840301739782;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;2021-03-21 17:31:11;0;Volvo Group;Aug 15, 2019; Bonne boîte ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Volvo Group à temps plein;Mobilité facile. Contexte à l'international;Il n'y a pas vraiment d'inconvénient notable
148190302681737258290012035137828040858;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;2021-03-21 17:31:11;0;Volvo Group;Jun 8, 2019; Globalement Positif ;Employé actuel - Bid Manager;Paris;Recommande;Je travaille chez Volvo Group à temps plein depuis plus de 3 ans;- Groupe international - Diversité des activités et métiers proposés - Réseau WIN - Women Inclusion Network - Innovation forte;Pas d’avantages pour les employés
87938254370951149781619046547266701980;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;2021-03-21 17:31:11;0;Volvo Group;Jun 6, 2019; bien ;Employé actuel - Directeur Lean et performance;Lyon;Recommande;Je travaille chez Volvo Group à temps plein depuis plus de 10 ans;postes varies dans differents metiers;Pas d’avantages pour les employés
260652476602585044863154029273336546105;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;2021-03-21 17:31:11;0;Volvo Group;Mar 26, 2019; Bonne entreprise ;Employé actuel - Business Analyst;Gothenburg;Recommande;Je travaille chez Volvo Group à temps plein depuis plus d'un an;Autonomie, Polyvalence, challenge, independance, vie privé;Le manager nous guide peu.
32159344327240020047914191297675541367;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 17:31:12;0;Atos;Dec 12, 2019; Salaire Atos ;Employé actuel - Consultant cybersécurité;Casablanca;Recommande;Je travaille chez Atos à temps plein depuis plus d'un an;lieux, les gens, equipement, ecadrement, mangement;manque des marchés,  manque des primes
149870719254934357155545412165250599771;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 17:31:12;0;Atos;Dec 10, 2019; Bon entreprise ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Atos à temps plein;De très beaux projets informatique;Pas de treiziemes mois / prime intéressement
243901814774978436925851656388738545411;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;2021-03-21 17:31:12;0;Atos;Dec 10, 2019; entretien ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez Atos à temps partiel;technique  salaire  temps  vie gout;rythme très haut
