dep;week;P;cl_age90;pop
02;2020-S52;121;59;70352
02;2020-S52;83;69;69077
02;2020-S52;75;79;45371
02;2020-S52;67;89;25627
02;2020-S52;39;90;6917
02;2020-S52;862;0;526050
02;2020-S53;23;09;62312
02;2020-S53;104;19;67540
02;2020-S53;127;29;51443
02;2020-S53;126;39;62599
02;2020-S53;129;49;64812
02;2020-S53;150;59;70352
02;2020-S53;103;69;69077
02;2020-S53;67;79;45371
02;2020-S53;64;89;25627
02;2020-S53;34;90;6917
02;2020-S53;927;0;526050
03;2020-S21;0;09;30871
03;2020-S21;0;19;35788
03;2020-S21;14;29;28141
03;2020-S21;7;39;33349
03;2020-S21;1;49;39464
03;2020-S21;1;59;45840
03;2020-S21;0;69;48958
03;2020-S21;2;79;38220
03;2020-S21;2;89;23577
03;2020-S21;0;90;7107
03;2020-S21;27;0;331315
03;2020-S22;0;09;30871
03;2020-S22;1;19;35788
03;2020-S22;0;29;28141
03;2020-S22;0;39;33349
03;2020-S22;1;49;39464
03;2020-S22;3;59;45840
03;2020-S22;3;69;48958
03;2020-S22;0;79;38220
03;2020-S22;0;89;23577
03;2020-S22;1;90;7107
03;2020-S22;9;0;331315
03;2020-S23;0;09;30871
03;2020-S23;0;19;35788
03;2020-S23;1;29;28141
03;2020-S23;0;39;33349
03;2020-S23;0;49;39464
03;2020-S23;0;59;45840
03;2020-S23;0;69;48958
03;2020-S23;0;79;38220
03;2020-S23;2;89;23577
03;2020-S23;0;90;7107
03;2020-S23;3;0;331315
03;2020-S24;1;09;30871
03;2020-S24;1;19;35788
03;2020-S24;1;29;28141
03;2020-S24;1;39;33349
03;2020-S24;0;49;39464
03;2020-S24;0;59;45840
03;2020-S24;1;69;48958
03;2020-S24;0;79;38220
03;2020-S24;1;89;23577
03;2020-S24;1;90;7107
03;2020-S24;7;0;331315
03;2020-S25;0;09;30871
03;2020-S25;1;19;35788
03;2020-S25;0;29;28141
03;2020-S25;2;39;33349
03;2020-S25;2;49;39464
03;2020-S25;0;59;45840
03;2020-S25;0;69;48958
03;2020-S25;0;79;38220
03;2020-S25;0;89;23577
03;2020-S25;0;90;7107
03;2020-S25;5;0;331315
03;2020-S26;1;09;30871
03;2020-S26;0;19;35788
03;2020-S26;1;29;28141
03;2020-S26;1;39;33349
03;2020-S26;0;49;39464
03;2020-S26;0;59;45840
03;2020-S26;0;69;48958
03;2020-S26;0;79;38220
03;2020-S26;0;89;23577
03;2020-S26;0;90;7107
03;2020-S26;3;0;331315
03;2020-S27;0;09;30871
03;2020-S27;3;19;35788
03;2020-S27;0;29;28141
03;2020-S27;0;39;33349
03;2020-S27;0;49;39464
03;2020-S27;2;59;45840
03;2020-S27;0;69;48958
03;2020-S27;0;79;38220
03;2020-S27;1;89;23577
03;2020-S27;0;90;7107
03;2020-S27;7;0;331315
03;2020-S28;0;09;30871
03;2020-S28;0;19;35788
03;2020-S28;0;29;28141
03;2020-S28;1;39;33349
03;2020-S28;0;49;39464
03;2020-S28;0;59;45840
03;2020-S28;1;69;48958
03;2020-S28;1;79;38220
03;2020-S28;0;89;23577
